track_id,track_names,artist_ids,artist_names,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,time_signature
2MyGZMswFQL2SIXVH5vHmu,We Will Rock You - Raw Sessions Version,1dfeR4HaWDbWqFHLkxsg1d,Queen,2017-10-06,42,0.683,0.495,2,-9.922,1,0.148,0.52,0.0,0.172,0.31,81.438,2.46,4
0pqnGHJpmpxLKifKRmU6WP,Believer,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2017-06-23,90,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,3.41,4
6rrKbzJGGDlSZgLphopS49,Unstoppable,2q3GG88dVwuQPF4FmySr9I,The Score,2017-10-13,77,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,3.2,4
2FY7b99s15jUprqC0M5NCT,Natural,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,2018-11-09,83,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,3.16,4
3LhGRE7ZNOEZhrqazWMYRI,Money Run Low,2q3GG88dVwuQPF4FmySr9I,The Score,2017-10-13,63,0.651,0.933,7,-3.978,0,0.0457,0.0203,0.0,0.306,0.798,134.048,3.09,4
7xfSCgVOkQJhVxnqzepATH,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,2017-08-04,63,0.216,0.199,1,-20.583,0,0.044,0.991,0.916,0.095,0.339,178.876,4.91,3
5SG4Z5Tdo7XW958CDNMNsI,Moonlight Sonata (2nd Movement),1Mtd57xUzIfeCexQtWRvgr,Rousseau,2018-10-02,37,0.629,0.13,1,-18.927,1,0.109,0.99,0.904,0.117,0.517,74.221,2.94,1
6jBT9MBVjX4kZ68IV6wHnH,Moonlight Sonata (3rd Movement),1Mtd57xUzIfeCexQtWRvgr,Rousseau,2018-10-02,51,0.387,0.297,6,-14.608,0,0.0329,0.949,0.894,0.106,0.135,76.885,7.15,4
6MQAB3vorg90FA3tQpbYXK,"Für Elise, WoO 59",2wOqMjp9TyABvtHdOSOTUS,Ludwig van Beethoven,1991-11-09,62,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,3.14,3
3BZCWtSddgr2aPUzKzzUyi,Brawl Stars Main Menu Theme,2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits,2020-07-24,19,0.524,0.819,10,-7.044,1,0.0297,0.000443,0.836,0.253,0.725,127.996,2.67,4
5JeWmOc88k42JiuBBqGOj4,Brawl Stars Original Menu Theme,2dB3VxAmEw5Dqewiha1oO1,The Greatest Bits,2020-08-14,18,0.57,0.667,5,-7.704,1,0.0348,0.00701,0.773,0.197,0.647,124.008,2.47,4
3hModOZHTKRQBfjIHPHZt7,Ievan Polkka - Club Remix,6t41YgqHULlgOq9TK1kcrG,The Kiffness,2020-12-18,57,0.823,0.889,1,-5.784,0,0.0427,0.00522,0.0285,0.216,0.863,119.024,3.01,4
5WZDLZVCvY1rEyNir6k8Pg,The Show Must Go On,1dfeR4HaWDbWqFHLkxsg1d,Queen,2018-10-19,66,0.425,0.675,11,-6.79,0,0.0409,0.433,4.51e-06,0.112,0.0671,84.156,4.53,4
1exU6vsHH56u3gxxyPFVpk,Eshays,7pqRrWbKf5yMxy79G3YdKc,Sydney Yungins,2021-01-03,61,0.898,0.926,9,-4.367,0,0.146,0.255,0.0,0.248,0.864,125.991,3.02,4
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,2NjfBq1NflQcKSeiDooVjY,Tones And I,2019-05-10,68,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,3.5,4
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,2021-03-31,87,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,2.3,4
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2021-03-26,90,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,2.34,4
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,1uU7g3DNSbsu0QjSEqZtEd,Masked Wolf,2019-06-07,64,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,2.21,4
3ee8Jmje8o58CHK66QrVC2,SAD!,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018-03-16,87,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,2.78,4
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2017-08-25,87,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,1.59,4
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),4r63FhuTkUYltbVAg5TQnk,DaBaby,2020-04-17,86,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,3.03,4
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2017-08-25,88,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,1.99,4
3GBWERDFODMjX1ysTXLnmS,ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,4r63FhuTkUYltbVAg5TQnk,DaBaby,2020-08-04,56,0.747,0.689,11,-7.246,1,0.242,0.197,0.0,0.0884,0.75,89.901,3.41,4
0ZLuW8uOXdFNWcI40C0OC2,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2020-12-11,75,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,3.79,4
33gwZOGJWEZ7dRWPqPxBEZ,Wolves (feat. Post Malone),0c173mlxpT3dSFRgMO8XPh,Big Sean,2020-09-04,80,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,3.33,4
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2020-12-11,77,0.792,0.793,5,-6.185,0,0.0841,0.0872,0.0,0.22,0.775,123.031,2.61,4
57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),2LIk90788K0zvyj2JJVwkJ,Jack Harlow,2020-12-11,74,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025,2.82,4
0PJ4dXVkpNAtoOZsEjqktc,UGLY (feat. Lil Baby),1z7b1Pr1rSlvWRzsW3HOrS,Russ,2021-01-08,64,0.713,0.663,1,-5.113,1,0.149,0.0641,0.0,0.324,0.787,104.99,3.24,4
2sDwK2Nj5gBGpJykIl0Yu4,Hard For Me,1z7b1Pr1rSlvWRzsW3HOrS,Russ,2020-12-11,56,0.763,0.586,10,-8.058,0,0.0302,0.0541,0.0,0.0593,0.41,120.004,3.47,4
5D4368CnI6V8iMVeE8LyQA,I Love Me,1z7b1Pr1rSlvWRzsW3HOrS,Russ,2020-10-30,54,0.753,0.692,11,-6.115,0,0.36,0.0336,0.0,0.102,0.366,165.999,3.2,4
1uEeF8IJe3t2LPKPCXnMq9,Without You (feat. Russ),3nViOFa3kZW8OMSNOzwr98,Queen Naija,2020-10-30,42,0.765,0.642,11,-5.324,0,0.27,0.607,0.0,0.111,0.762,86.101,2.62,4
0Sy5NQqvb7Qy9OS0xcWh6f,Universe (feat. Kehlani),7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,2020-10-22,50,0.596,0.473,9,-9.381,0,0.218,0.0273,0.0,0.203,0.365,157.0,3.67,4
1psvnQxSDdIKTDM2Jm8QKt,By Yourself (feat. Jhené Aiko & Mustard),7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,2020-10-23,63,0.771,0.526,1,-6.844,1,0.0718,0.0804,0.0,0.663,0.182,104.036,2.48,4
26rIWI1QTPClaOOI4Kbxhe,What It Is (feat. Chris Brown),4qBgvVog0wzW75IQ48mU7v,KYLE,2020-10-30,52,0.741,0.396,0,-6.153,1,0.0497,0.0504,0.0,0.128,0.83,76.489,2.41,4
4NIZy4Pnnka5MnlFjvaEsj,This Weekend (feat. Ty Dolla $ign),5XDJlfdfbGNJrOJJNxTcdq,Phora,2020-11-06,52,0.646,0.517,3,-8.991,1,0.341,0.388,0.0,0.11,0.501,97.818,3.69,4
5S9AqRszdc5WvIu45SzMSQ,Losing Focus (with Wale),0pghUohLPptZWBasy2wmUx,THEY.,2020-10-23,48,0.719,0.872,11,-3.75,0,0.0602,0.27,0.0,0.182,0.758,92.488,3.56,4
5qV0c0qD5gFjqrWaMphjW6,STCU (with Juicy J),0pghUohLPptZWBasy2wmUx,THEY.,2020-10-23,39,0.601,0.778,10,-3.828,0,0.0725,0.795,2.55e-05,0.133,0.545,74.444,2.88,4
1dYuIEDTaayOQI4KfU95Uo,All Mine,0pghUohLPptZWBasy2wmUx,THEY.,2020-10-23,39,0.652,0.536,3,-5.775,0,0.0957,0.241,0.0,0.132,0.592,134.72,2.87,4
2A4h80LMeI4pHiTf4vTrli,Play Fight (with Tinashe),0pghUohLPptZWBasy2wmUx,THEY.,2020-10-23,51,0.73,0.759,4,-3.551,0,0.0312,0.15,0.0,0.0325,0.658,93.989,3.25,4
0LUMADPsrMFa1b1oXDKorK,Firefighter,1c5SlzViAqsaB0kXygfSjh,JAHKOY,2020-06-17,35,0.776,0.532,9,-6.954,0,0.0502,0.165,1.56e-06,0.123,0.228,117.023,3.01,4
3Qdy4Wp4sKtB8yxRDEqwGA,Icy,1W7FNibLa0O0b572tB2w7t,Pink Sweat$,2021-02-12,50,0.836,0.662,10,-5.063,0,0.0623,0.0284,0.00744,0.0781,0.606,111.519,2.98,4
4Jskzws8Q1ibDkR4XvP2iO,Freezing,4vZ5UD5pIliRPSdHHj9EUp,Bren Joy,2021-03-25,42,0.745,0.621,1,-5.411,1,0.0344,0.0805,0.0,0.209,0.555,122.064,2.95,4
7trFlgtG3ZlbiHztR9os18,What They Think,0bhck1r45kgsoMNBVqIziz,Carter Ace,2020-06-26,44,0.734,0.574,5,-5.462,0,0.066,0.104,0.000209,0.285,0.386,98.02,3.44,4
6mdKChJDWPtT2Tq77dVsc3,untitled,3jivTPQnC8Vupqc3EFO33c,King Green,2021-03-17,42,0.874,0.546,0,-8.268,1,0.0544,0.323,0.000243,0.125,0.67,130.08,2.88,4
7mCO0RLL6kRuRuFOR5ShJg,Freezing - Acoustic,4vZ5UD5pIliRPSdHHj9EUp,Bren Joy,2020-08-07,35,0.469,0.507,6,-6.504,1,0.0332,0.718,0.0,0.167,0.62,121.363,3.34,4
4zsE0xCbdtrA05dM269LhG,Got It Figured Out,0bhck1r45kgsoMNBVqIziz,Carter Ace,2020-04-15,37,0.789,0.337,11,-11.731,0,0.148,0.09,0.000884,0.561,0.751,90.14,2.71,4
235m3adTb5WObAJWOonO4f,i guess?,7eRBEVzcZk4XyIdF0Btfg4,elias,2019-12-27,54,0.758,0.844,10,-6.738,0,0.267,0.0161,0.0,0.1,0.615,89.994,3.24,4
00xvDHFWkJxNwdwLilTR8W,Candy Aisle,5XOw0QPzxC5yefTmdADPCg,Old Chingu,2019-11-15,33,0.767,0.609,8,-8.592,0,0.203,0.735,0.0,0.107,0.756,104.925,3.5,4
1498ea8wUbPW7GMARufCrM,Cherry Nails,7kYDjU5spmeNn4aIXU5sGV,Gold Revere,2019-08-01,24,0.722,0.668,10,-6.343,0,0.147,0.0317,0.0,0.16,0.561,106.933,3.44,4
568O6xtNAowAbL2YOYy6dV,Hands Up!,2v0ZHwSNiABKoCJzvlr1pQ,Pomsky,2019-12-08,20,0.77,0.634,9,-8.772,1,0.195,0.101,0.0,0.166,0.744,137.061,3.22,4
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,2020-11-13,84,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,2.58,4
7FngYjFnEU6fRYWTZbwoq9,Plastic,2crfTbTl8cTxLFidTcd2Tg,Unghetto Mathieu,2020-05-29,61,0.626,0.734,1,-3.96,0,0.331,0.023,0.0,0.285,0.692,130.427,3.02,4
3aAmQOxRPeKDL0HMWFA5qn,Adderall (Corvette Corvette),3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,2020-10-15,67,0.913,0.391,4,-11.158,0,0.368,0.272,0.0,0.0666,0.713,141.05,2.27,4
1eDyjPYw65g3wvQ7xJLF5c,BOO!,0mYBT2Ek76Szd4MqbCgT5R,Championxiii,2020-10-16,57,0.974,0.157,2,-14.201,1,0.375,0.039,0.0,0.279,0.522,115.023,2.23,4
5lNsNowjCKqgafSWE7Ie2Z,Drip Like ME,2NLseG7xyv3fHY5U8AUntx,Kenndog,2020-03-01,62,0.956,0.578,0,-9.546,0,0.231,0.0973,0.0,0.0803,0.555,103.981,2.33,4
6hLZzCS4E7AWo3PRBWy6az,Whole Lotta Choppas,2JSwnwAT1BupAQkhqcRCUw,Sada Baby,2020-08-14,61,0.926,0.762,1,-1.887,1,0.205,0.000718,0.0,0.117,0.277,127.931,2.56,4
2Xoc4gqPbBa3QHKpBLJ5l8,Then Leave (feat. Queendom Come),5L8p9kDnX2cgoI8VLUL2p4,BeatKing,2020-03-27,62,0.912,0.568,2,-6.107,1,0.476,0.0656,0.000105,0.0521,0.491,140.968,2.53,4
7x85prGmW9WZwYigrYYKp9,Marry Me,3x6gZfwmkDn92EKOwnYq4H,Rasheeda,2011-04-18,39,0.769,0.637,8,-6.4,1,0.0572,0.0476,6.15e-05,0.35,0.361,79.016,3.92,4
5qPA8hb5bVQjDm5cLGQtx1,Marry Me,3x6gZfwmkDn92EKOwnYq4H,Rasheeda,2012-02-01,30,0.812,0.503,8,-8.36,1,0.0975,0.0455,0.000153,0.148,0.433,79.025,3.9,4
6NDCcyeeCjjFE37FHIAh0f,Hit It,1OrSb6vu3ybhKsSY50R5HU,Yung Skrrt,2019-07-27,44,0.857,0.763,10,-0.856,0,0.133,0.0684,0.134,0.0755,0.93,97.5,1.65,4
6lEeUbjvd7l3Nqudst1cva,#WIPEITDOWN,3n6wgt7LmxAnT0XOHleQcP,BMW KENNY,2020-07-31,45,0.933,0.632,10,-7.484,0,0.416,0.0428,0.00463,0.102,0.534,140.108,1.66,4
0wQL4dv6dQjuiGdmJIjRCu,Why Is Everything Chrome (Lean Swag Rock Wit It),2Kk6KjwTS9Q530Jmul6eHc,King Critical,2020-04-30,45,0.915,0.392,7,-11.548,1,0.475,0.112,0.0,0.0319,0.675,139.94,2.52,4
6PlNQO7IWcBSM5VNO6Hjrk,Need A Freak,6vAbPprzkLR2v8FpTgyYcV,Mighty Bay,2021-01-15,22,0.911,0.429,1,-10.255,1,0.532,0.00642,0.0,0.0835,0.796,129.916,2.47,4
7K9NoVoccqKpf0ST7VRLMV,Different Varieties,7BCzdg9R0InC8COslhyNrQ,KINGMOSTWANTED,2019-08-12,46,0.923,0.485,1,-5.599,1,0.459,0.00311,1.84e-05,0.117,0.0703,119.967,2.19,4
4bZoew5be5EGBw1W6OFVEa,She Belongs to the Streets (Toxic),0274yz3YLvjWaqA8dhoPDv,Rontae Don't Play,2020-03-06,44,0.893,0.296,1,-15.774,1,0.907,0.00348,0.0,0.176,0.321,130.145,2.46,4
3JlIWg991WM3tlg8aOXEnq,In My City,7BCzdg9R0InC8COslhyNrQ,KINGMOSTWANTED,2019-09-15,56,0.938,0.306,4,-12.088,0,0.228,0.0536,0.0,0.0889,0.136,104.976,2.82,4
2IJRjWgoOuG8qB8cHI2HJl,Put Yo Back Into It,053fl1QPQFGqSPPxSPcacT,Loui,2020-04-03,39,0.855,0.402,11,-9.645,0,0.696,0.0671,0.0,0.111,0.673,169.976,1.93,4
3BJFeCHzS02f2sjOk5mUTL,41 Bars (Put yo back into it),053fl1QPQFGqSPPxSPcacT,Loui,2020-03-05,34,0.822,0.422,8,-9.252,0,0.555,0.162,0.0,0.143,0.556,169.919,2.17,4
19Xse87om60Gd5XaVeJbcn,WURK,6EzhUQ7WQQ711LOa3vEJTQ,Huncho Da Rockstar,2020-08-19,26,0.83,0.411,10,-11.599,0,0.712,0.051,0.0,0.0756,0.7,156.039,2.56,4
4wgX5JD0VWZFr1Cj92SyDq,Get Loose,6EzhUQ7WQQ711LOa3vEJTQ,Huncho Da Rockstar,2020-08-19,25,0.894,0.518,0,-11.714,1,0.445,0.0078,0.0,0.0694,0.674,140.974,1.98,4
07SGfN6FWQT4m0xrcxjIqp,The Mop,6lEhBhAv6HOopjXssi09cq,TisaKorean,2020-12-04,43,0.847,0.324,2,-12.434,1,0.665,0.0107,0.0,0.0966,0.399,143.988,4.16,4
5HbOshwZGzAFGs4Q4ciZ2C,SPONGY,6lEhBhAv6HOopjXssi09cq,TisaKorean,2019-07-31,33,0.743,0.541,5,-6.284,0,0.423,0.0214,0.0,0.739,0.661,153.91,2.3,4
3YgeIbA0dOVSOClZKUUxzz,Good Morning,78GdFYPETzCgutsc5O5COH,Mak Sauce,2020-02-21,50,0.883,0.584,11,-7.463,1,0.471,0.05,0.0,0.0679,0.798,148.059,2.6,4
0uvwUUVefPPY6W3cq4FizB,Wait Bitch,3g7eH6OcCfuLm5iWwNrsbF,BestBeats,2019-12-31,0,0.852,0.475,7,-9.046,0,0.538,0.053,4.24e-06,0.259,0.0769,100.954,1.26,4
1PNBqEIxQmeyP2uqpWtV2M,Gordon Ramsay,1bqrqSeWJyuwoW91townnc,HL Wave,2019-10-25,50,0.883,0.732,10,-7.133,0,0.343,0.0207,0.0,0.199,0.808,74.984,2.35,4
0VdzNP9LFAMAWKjMpBDJ4B,ok boomer (feat. Jed Will),5lVUEGHUyXz8X6h58fuEwV,Peter Kuli,2019-11-18,42,0.913,0.518,1,-2.317,1,0.416,0.092,0.0,0.071,0.594,129.896,2.22,4
0vRa1EzwXx7b56uXsuctFU,WEST COAST CURE,4uyIwcaJgV9ShErevnVlNp,10k.Caash,2019-05-10,46,0.866,0.447,2,-7.694,1,0.336,0.0412,0.0,0.0701,0.244,130.223,2.03,4
3Ypkw5218Z6DiROXjH3ztk,Woah,5yV02XZUpUdSrmGvvi2MGV,$wave,2019-05-06,40,0.935,0.336,9,-12.571,1,0.387,0.0632,0.0,0.0649,0.837,132.013,1.93,4
55Lzwvp2G7BxZstGm3Rgoh,Go Demarcus!,2pgUIUzteEqbNGO4v7kiJB,Ru AREYOU,2019-04-07,27,0.63,0.749,8,-4.87,1,0.318,0.416,0.0,0.125,0.94,188.058,1.19,4
4NA2ctJ0vcD3W59mJUnvZC,We Get Turnt Up (Interlude) [feat. Mr Hotspot],677zBE8673c80bV0f0p2aF,Team Twin,2018-09-04,26,0.616,0.59,1,-7.702,1,0.883,0.0402,0.0,0.277,0.56,68.98,1.44,4
2oeDKk6LoS5Gdx5XjusAnz,Lottery (Renegade) - Bonus Track,5bgfj5zUoWpyeVatGDjn6H,K CAMP,2020-04-24,57,0.919,0.547,1,-8.797,1,0.207,0.0224,0.000209,0.0733,0.607,148.91,2.85,4
22ro3xnY9r77mkTlNK7kIf,Dip & Lean,1IIjzJHIX56t9KC5zLCVho,BlacKlout,2019-06-26,27,0.922,0.501,7,-6.847,1,0.24,0.136,0.0,0.0881,0.775,140.099,3.14,4
13Fq9YAbG70RtIQrdsrHDw,Shorty Like Mine,1dDQvr3mGCRGQTEZ4Fx4kc,Chop Lotto,2019-07-20,14,0.728,0.432,7,-13.855,1,0.236,0.0403,0.000512,0.119,0.474,141.794,4.09,4
7etMQcaePrVdqfGMysewsn,Savage,1WEXyd2RFcNvcHbCydwP78,Famous Ocean & KungFu,2019-08-09,40,0.936,0.457,4,-11.484,0,0.329,0.107,0.0,0.0692,0.841,129.937,3.0,4
4MszwagGVhBYTJkXe0KOEp,Make His Pockets Hurt,0L5BtJ0tpOgMcQO94P26Tp,Lil Kayla,2019-09-27,52,0.938,0.665,11,-4.365,1,0.174,0.0189,0.0,0.0501,0.356,102.001,2.84,4
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,2020-02-06,80,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,2.71,4
466cKvZn1j45IpxDdYZqdA,Toosie Slide,3TVXtAsR1Inumwj472S9r4,Drake,2020-05-01,73,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4.12,4
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake),1RyvyyTE3xzB2ZywiAwp0i,Future,2020-05-15,76,0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,3.97,4
4KppkflX7I3vJQk7urOJaS,Skechers (feat. Tyga) - Remix,3O5HD95HTEPgoPFOjAb7yV,DripReport,2020-05-15,61,0.875,0.443,1,-7.461,1,0.143,0.173,3.24e-05,0.0891,0.306,100.012,2.73,4
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,2019-12-27,70,0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,4.08,4
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,2020-04-24,80,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,2.77,4
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,2020-07-17,80,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,3.34,4
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,6fWVd57NKTalqvmjRd2t8Z,24kGoldn,2019-11-22,76,0.746,0.717,9,-4.841,0,0.179,0.199,0.0,0.132,0.523,150.964,2.99,4
2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,76,0.684,0.671,2,-6.424,0,0.289,0.0119,0.0,0.0769,0.45,179.987,2.85,4
4guBZjUyrGoHsTahO3IHdj,Did It Again,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,75,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,1.94,4
1ipyiYqvds0wcaFDTW6N4X,Out Of Luck,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,65,0.563,0.624,8,-8.271,1,0.287,0.0439,0.0,0.111,0.337,152.068,2.72,4
4ESyocZUQ3fOlCbNP6n17i,Bossanova,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,61,0.717,0.493,5,-7.146,0,0.266,0.00578,0.0,0.156,0.258,139.833,2.06,4
1kBgQ2cBNONDo7ABrvmRfu,Sidenote,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,64,0.666,0.666,2,-7.748,1,0.277,0.0608,0.0,0.15,0.487,140.001,2.63,4
4rBOlGhLgQXt2YGlxcwTWZ,Laneswitch,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,2019-10-11,63,0.736,0.684,11,-7.779,0,0.0863,0.138,0.0,0.262,0.346,128.002,2.5,4
2SFaHGfSeOYBA0foNEVlIY,Molly Girl,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,60,0.572,0.592,8,-7.48,1,0.21,0.00078,0.0,0.119,0.261,177.896,1.95,4
7FITP8MVBwdQcbNAr0aVio,Count Me Out,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,60,0.836,0.653,4,-6.623,0,0.293,0.406,0.0,0.12,0.686,101.954,2.9,4
2BULAwmRpScmZE7YOF07e5,Amigo,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,70,0.774,0.669,7,-7.397,0,0.221,0.415,0.0,0.105,0.528,89.954,2.5,4
6eSU1exzDvBEXmBRxspeh5,Shots,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,2019-08-30,66,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,1.82,4
